experiment_id,model_version,parent_version,disorder,change_type,description,data_scope,dataset_name,feature_strategy,class_balance_strategy,calibration_strategy,status,timestamp
exp_rf_adhd_v1_baseline,rf_adhd_v1_baseline,,adhd,baseline_freeze,Formalized existing best model as baseline v1,strict_no_leakage,dataset_adhd_clinical,baseline_frozen,from_baseline,sigmoid,completed,2026-03-24T03:03:52.684017+00:00
exp_rf_anxiety_v1_baseline,rf_anxiety_v1_baseline,,anxiety,baseline_freeze,Formalized existing best model as baseline v1,strict_no_leakage,dataset_anxiety_items,baseline_frozen,from_baseline,sigmoid,completed,2026-03-24T03:03:52.684017+00:00
exp_rf_depression_v1_baseline,rf_depression_v1_baseline,,depression,baseline_freeze,Formalized existing best model as baseline v1,strict_no_leakage,dataset_depression_parent,baseline_frozen,from_baseline,sigmoid,completed,2026-03-24T03:03:52.684017+00:00
exp_rf_conduct_v1_baseline,rf_conduct_v1_baseline,,conduct,baseline_freeze,Formalized existing best model as baseline v1,strict_no_leakage,dataset_conduct_minimal,baseline_frozen,from_baseline,sigmoid,completed,2026-03-24T03:03:52.684017+00:00
exp_rf_elimination_v1_baseline,rf_elimination_v1_baseline,,elimination,baseline_freeze,Formalized existing best model as baseline v1,strict_no_leakage,dataset_elimination_core,baseline_frozen,from_baseline,sigmoid,completed,2026-03-24T03:03:52.684017+00:00
exp_rf_multilabel_v1_baseline,rf_multilabel_v1_baseline,,multilabel,baseline_freeze,Formalized existing best model as baseline v1,strict_no_leakage,master_multilabel_ready,baseline_frozen,from_baseline,sigmoid,completed,2026-03-24T03:03:52.684017+00:00
exp_rf_depression_v2_feature_pruned_20260324T031807.781198+0000,rf_depression_v2_feature_pruned,rf_depression_v1_baseline,depression,experiment_train,Parent-focused depression model with MI pruning and calibrated probabilities.,strict_no_leakage,dataset_depression_parent,mi_top_k,balanced_subsample,sigmoid,completed,2026-03-24T03:18:07.782202+00:00
exp_rf_depression_v3_calibrated_20260324T031844.749838+0000,rf_depression_v3_calibrated,rf_depression_v1_baseline,depression,experiment_train,Combined depression features with stronger recall objective and isotonic calibration.,strict_no_leakage,dataset_depression_combined,mi_top_k,balanced_subsample,isotonic,completed,2026-03-24T03:18:44.752839+00:00
exp_rf_conduct_v2_externalizing_focus_20260324T031926.110396+0000,rf_conduct_v2_externalizing_focus,rf_conduct_v1_baseline,conduct,experiment_train,Externalizing-focused conduct feature subset (ICUT/ARI/CBCL/SDQ emphasis).,strict_no_leakage,dataset_conduct_clinical,externalizing_focus,balanced_subsample,sigmoid,completed,2026-03-24T03:19:26.112428+00:00
exp_rf_conduct_v3_balanced_subsample_20260324T032003.191330+0000,rf_conduct_v3_balanced_subsample,rf_conduct_v1_baseline,conduct,experiment_train,Minimal conduct dataset with aggressive pruning and sensitivity-priority threshold.,strict_no_leakage,dataset_conduct_minimal,mi_top_k,balanced_subsample,sigmoid,completed,2026-03-24T03:20:03.192331+00:00
