domain,role,mode,feature_set_id,position,feature
adhd,caregiver,caregiver_1_3,structural_ranked_direct,1,adhd_onset_before_12
adhd,caregiver,caregiver_1_3,structural_ranked_direct,2,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_1_3,structural_ranked_direct,3,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_1_3,structural_ranked_direct,4,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_1_3,structural_ranked_direct,5,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_1_3,structural_ranked_direct,6,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_1_3,structural_ranked_direct,7,adhd_hypimp_04_cannot_play_quietly
adhd,caregiver,caregiver_1_3,structural_ranked_direct,8,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_1_3,structural_ranked_plus_derived,1,adhd_onset_before_12
adhd,caregiver,caregiver_1_3,structural_ranked_plus_derived,2,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_1_3,structural_ranked_plus_derived,3,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_1_3,structural_ranked_plus_derived,4,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_1_3,structural_ranked_plus_derived,5,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_1_3,structural_ranked_plus_derived,6,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_1_3,structural_ranked_plus_derived,7,adhd_hypimp_04_cannot_play_quietly
adhd,caregiver,caregiver_1_3,structural_ranked_plus_derived,8,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_1_3,dsm5_core_plus_context,1,adhd_impairment_school
adhd,caregiver,caregiver_1_3,dsm5_core_plus_context,2,adhd_impairment_home
adhd,caregiver,caregiver_1_3,dsm5_core_plus_context,3,adhd_impairment_social
adhd,caregiver,caregiver_1_3,dsm5_core_plus_context,4,adhd_context_home
adhd,caregiver,caregiver_1_3,dsm5_core_plus_context,5,adhd_context_school
adhd,caregiver,caregiver_1_3,dsm5_core_plus_context,6,adhd_context_other
adhd,caregiver,caregiver_1_3,dsm5_core_plus_context,7,adhd_onset_before_12
adhd,caregiver,caregiver_1_3,dsm5_core_plus_context,8,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_1_3,legacy_structural_intersection,1,adhd_onset_before_12
adhd,caregiver,caregiver_1_3,legacy_structural_intersection,2,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_1_3,legacy_structural_intersection,3,adhd_impairment_home
adhd,caregiver,caregiver_1_3,legacy_structural_intersection,4,adhd_impairment_school
adhd,caregiver,caregiver_1_3,legacy_structural_intersection,5,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_1_3,legacy_structural_intersection,6,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_1_3,legacy_structural_intersection,7,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_1_3,legacy_structural_intersection,8,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_2_3,structural_ranked_direct,1,adhd_onset_before_12
adhd,caregiver,caregiver_2_3,structural_ranked_direct,2,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_2_3,structural_ranked_direct,3,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_2_3,structural_ranked_direct,4,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_2_3,structural_ranked_direct,5,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_2_3,structural_ranked_direct,6,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_2_3,structural_ranked_direct,7,adhd_hypimp_04_cannot_play_quietly
adhd,caregiver,caregiver_2_3,structural_ranked_direct,8,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_2_3,structural_ranked_direct,9,adhd_hypimp_02_leaves_seat
adhd,caregiver,caregiver_2_3,structural_ranked_direct,10,adhd_hypimp_03_runs_or_climbs_inappropriately
adhd,caregiver,caregiver_2_3,structural_ranked_direct,11,adhd_inatt_01_attention_to_detail_errors
adhd,caregiver,caregiver_2_3,structural_ranked_direct,12,adhd_hypimp_01_fidgets
adhd,caregiver,caregiver_2_3,structural_ranked_direct,13,adhd_hypimp_07_blurts_out
adhd,caregiver,caregiver_2_3,structural_ranked_direct,14,adhd_hypimp_05_driven_by_motor
adhd,caregiver,caregiver_2_3,structural_ranked_direct,15,adhd_hypimp_09_interrupts_intrudes
adhd,caregiver,caregiver_2_3,structural_ranked_direct,16,adhd_hypimp_06_talks_excessively
adhd,caregiver,caregiver_2_3,structural_ranked_direct,17,adhd_inatt_04_fails_to_finish_tasks
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,1,adhd_onset_before_12
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,2,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,3,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,4,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,5,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,6,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,7,adhd_hypimp_04_cannot_play_quietly
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,8,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,9,adhd_hypimp_02_leaves_seat
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,10,adhd_hypimp_03_runs_or_climbs_inappropriately
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,11,adhd_inatt_01_attention_to_detail_errors
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,12,adhd_hypimp_01_fidgets
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,13,adhd_hypimp_07_blurts_out
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,14,adhd_hypimp_05_driven_by_motor
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,15,adhd_hypimp_09_interrupts_intrudes
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,16,adhd_hypimp_06_talks_excessively
adhd,caregiver,caregiver_2_3,structural_ranked_plus_derived,17,adhd_inatt_04_fails_to_finish_tasks
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,1,adhd_impairment_school
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,2,adhd_impairment_home
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,3,adhd_impairment_social
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,4,adhd_context_home
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,5,adhd_context_school
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,6,adhd_context_other
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,7,adhd_onset_before_12
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,8,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,9,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,10,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,11,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,12,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,13,adhd_hypimp_04_cannot_play_quietly
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,14,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,15,adhd_hypimp_02_leaves_seat
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,16,adhd_hypimp_03_runs_or_climbs_inappropriately
adhd,caregiver,caregiver_2_3,dsm5_core_plus_context,17,adhd_inatt_01_attention_to_detail_errors
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,1,adhd_onset_before_12
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,2,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,3,adhd_impairment_home
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,4,adhd_impairment_school
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,5,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,6,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,7,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,8,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,9,adhd_hypimp_02_leaves_seat
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,10,adhd_inatt_01_attention_to_detail_errors
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,11,adhd_hypimp_04_cannot_play_quietly
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,12,adhd_hypimp_03_runs_or_climbs_inappropriately
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,13,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,14,adhd_hypimp_01_fidgets
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,15,adhd_hypimp_07_blurts_out
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,16,adhd_hypimp_05_driven_by_motor
adhd,caregiver,caregiver_2_3,legacy_structural_intersection,17,adhd_hypimp_09_interrupts_intrudes
adhd,caregiver,caregiver_full,structural_ranked_direct,1,adhd_onset_before_12
adhd,caregiver,caregiver_full,structural_ranked_direct,2,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_full,structural_ranked_direct,3,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_full,structural_ranked_direct,4,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_full,structural_ranked_direct,5,adhd_inatt_06_avoids_sustained_effort
