file,function,method,path,category,jwt_or_roles_required,encrypted_transport_required,encrypted_transport_enforced_in_code,cache_control_no_store_applied,replacement_endpoint
api/routes/admin.py,admin_audit_logs,GET,/api/admin/audit-logs,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_email_health,GET,/api/admin/email/health,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_list_unsubscribes,GET,/api/admin/email/unsubscribes,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_remove_unsubscribe,POST,/api/admin/email/unsubscribes/{unsubscribe_id}/remove,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_evaluations,GET,/api/admin/evaluations,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_update_evaluation_status,PATCH,/api/admin/evaluations/{evaluation_id}/status,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_impersonate,POST,/api/admin/impersonate/{user_id},authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_metrics,GET,/api/admin/metrics,authenticated_non_sensitive,yes,no,no,no,
api/routes/problem_reports.py,list_problem_reports_admin,GET,/api/admin/problem-reports,authenticated_non_sensitive,yes,no,no,no,
api/routes/problem_reports.py,get_problem_report_admin,GET,/api/admin/problem-reports/{report_id},authenticated_non_sensitive,yes,no,no,no,
api/routes/problem_reports.py,update_problem_report_admin,PATCH,/api/admin/problem-reports/{report_id},authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_approve_psychologist,POST,/api/admin/psychologists/{user_id}/approve,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_reject_psychologist,POST,/api/admin/psychologists/{user_id}/reject,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_questionnaires,GET,/api/admin/questionnaires,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_archive_questionnaire,POST,/api/admin/questionnaires/{template_id}/archive,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_clone_questionnaire,POST,/api/admin/questionnaires/{template_id}/clone,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_publish_questionnaire,POST,/api/admin/questionnaires/{template_id}/publish,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_list_roles,GET,/api/admin/roles,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_create_role,POST,/api/admin/roles,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_list_users,GET,/api/admin/users,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_patch_user,PATCH,/api/admin/users/{user_id},authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_mfa_reset,POST,/api/admin/users/{user_id}/mfa/reset,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_password_reset,POST,/api/admin/users/{user_id}/password-reset,authenticated_non_sensitive,yes,no,no,no,
api/routes/admin.py,admin_assign_roles,POST,/api/admin/users/{user_id}/roles,authenticated_non_sensitive,yes,no,no,no,
api/routes/auth.py,login,POST,/api/auth/login,auth_sensitive,no,no,no,no,
api/routes/auth.py,login_mfa,POST,/api/auth/login/mfa,auth_sensitive,no,no,no,no,
api/routes/auth.py,logout,POST,/api/auth/logout,auth_sensitive,yes,no,no,no,
